state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
6,64,6013,49,4015,4,42,6,0.00021254137499059235,0.0008147419374639372
6,64,6013,49,4025,4,42,3,0.011787874495638893,0.03442206089753474
6,64,6013,49,4025,4,42,6,0.0006345740637348486,0.002432533910983587
6,64,6013,49,4025,4,42,7,3.814291094177934e-05,0.00023810500511704122
6,64,6041,49,4005,4,42,7,5.791822116937018e-07,2.0047240023511617e-06
6,64,6041,49,4015,4,42,6,0.0009765042454278807,0.00374326627414021
6,64,6041,49,4025,4,42,7,1.4703632223545817e-06,5.089369777791954e-06
6,64,6055,49,4025,4,42,7,3.560722583803787e-06,1.2324732848045995e-05
6,64,6075,49,4025,4,42,7,3.1135007825468103e-05,0.00019128144553877903
6,64,6077,49,4005,4,42,3,0.07988909727023523,0.23328610872999184
6,64,6077,49,4005,4,42,7,5.430235127026527e-05,0.0004000704785732168
6,64,6077,49,4025,4,42,3,0.20281353280819173,0.5922407622977798
6,64,6077,49,4025,4,42,6,0.005797636088362854,0.022224271672057604
6,64,6077,49,4025,4,42,7,0.0001844219292857989,0.0011768304120250408
6,64,6081,49,4005,4,42,7,5.508064392206751e-06,1.9065069110569e-05
6,64,6081,49,4025,4,42,7,5.6603367284017503e-05,0.0003624022701968244
6,64,6085,49,4005,4,42,7,1.920347816326073e-05,0.0001198766468900993
6,64,6085,49,4025,4,42,7,4.875164924346888e-05,0.0003043294653179097
6,64,6087,49,4005,4,42,7,1.1329676109638627e-05,7.403884476157738e-05
6,64,6087,49,4025,4,42,7,2.876251848979761e-05,0.0001879615640209195
6,64,6095,49,4005,4,42,7,1.3041995677440003e-05,8.522876417637878e-05
6,64,6095,49,4025,4,42,7,3.310956449117708e-05,0.0002163692837962236
6,64,6097,49,4025,4,42,3,0.08643052503195123,0.2523878920798161
6,64,6097,49,4025,4,42,7,0.00011315122434489409,0.0007789416208568831
6,65,6019,49,4005,4,42,2,1.9484248705156613,0.6324392587317527
6,65,6019,49,4005,4,42,7,0.0011354989649547244,0.0008539566194144668
6,65,6019,49,4025,4,42,2,4.946443819034799,1.605566275409274
6,65,6019,49,4025,4,42,7,0.0028826781682550697,0.002167929852336889
6,65,6039,49,4005,4,42,2,0.034981907269845285,0.011354777819536171
6,65,6039,49,4005,4,42,7,6.524407143164853e-05,4.9067069540506454e-05
6,65,6039,49,4025,4,42,2,0.08880816582226225,0.02882624391213685
6,65,6039,49,4025,4,42,7,0.00016563437407588188,0.0001245660053510582
6,69,6005,49,4005,4,42,7,0.0006924365458048957,0.0010315278139983637
6,69,6005,49,4025,4,42,7,0.001757880698353004,0.002618727802609246
6,69,6007,49,4015,4,42,3,0.00015751076185120888,0.005578309468498271
6,69,6007,49,4015,4,42,7,0.011952998922649706,0.01272648629718167
6,69,6007,49,4025,4,42,3,0.00016946123588652332,0.00043135587316569553
6,69,6007,49,4025,4,42,7,0.04964619550439396,0.0799412959174241
6,69,6009,49,4005,4,42,3,1.1333608815629012e-05,0.00027858109720332885
6,69,6009,49,4025,4,42,3,2.877250240528369e-05,0.0007072306288087191
6,69,6011,49,4015,4,42,3,0.0005462394662196095,0.0013904277321953695
6,69,6011,49,4015,4,42,7,0.0006553300265592523,0.0012637713416789995
6,69,6021,49,4015,4,42,3,0.0003772527852811911,0.0009602798170793957
6,69,6025,49,4005,4,42,7,0.00042938665449501203,0.0004011177383699562
6,69,6025,49,4025,4,42,7,0.001090078963394042,0.001018312991016268
6,69,6027,49,4001,4,42,3,2.10807654754412e-06,2.4388581359325657e-05
6,69,6027,49,4001,4,42,7,9.837438208622424e-07,1.8971009994566369e-06
6,69,6027,49,4005,4,42,7,1.6680344391373363e-05,1.5582184372657052e-05
6,69,6027,49,4025,4,42,7,4.234619854356727e-05,3.9558312328866664e-05
6,69,6029,49,4001,4,42,3,8.226316982676713e-05,0.0011523954734520491
6,69,6029,49,4001,4,42,7,0.004815324850263945,0.007192392861698384
6,69,6029,49,4005,4,42,3,0.0008642610751699751,0.04661189890656048
6,69,6029,49,4005,4,42,6,0.007678812155510665,0.012475319461818188
6,69,6029,49,4005,4,42,7,0.0020376791334519805,0.003937525401130343
6,69,6029,49,4015,4,42,7,0.0013529424437198107,0.0012638707036851248
6,69,6029,49,4025,4,42,6,0.019494112141004768,0.0316709500972771
6,69,6029,49,4025,4,42,7,0.004043397894639478,0.003801376151158232
6,69,6031,49,4005,4,42,3,0.00010659866082646852,0.005749149354019986
6,69,6031,49,4005,4,42,7,0.000762442469399942,0.001470518614956788
6,69,6031,49,4025,4,42,3,0.0010692749182633033,0.01662823713986096
6,69,6031,49,4025,4,42,7,0.0019356039317722602,0.0037331887022174774
6,69,6033,49,4015,4,42,7,0.006456764183828705,0.007178769210607071
6,69,6033,49,4025,4,42,7,0.001166646040389623,0.003316459663778216
6,69,6047,49,4005,4,42,3,0.00016677892046443449,0.00295226506469972
6,69,6047,49,4005,4,42,7,0.04022746412693773,0.06028678804855984
6,69,6047,49,4025,4,42,3,0.00042339972803686655,0.007494881379527595
6,69,6047,49,4025,4,42,7,0.10212500071068858,0.1530493757418207
